,title,rev,genre,id,lyrics
1,instagram,0,R&B,30806580,내일이 올 걸 아는데난 핸드폰을 놓지 못해잠은 올 생각이 없대 yeah다시 인스타그램 인스타그램 하네잘 난 사람 많고 많지누군 어디를 놀러 갔다지좋아요는 안 눌렀어나만 이런 것 같아서저기 인스타그램 인스타그램 속엔문제야 문제온 세상 속에똑같은 사랑노래가와 닿지 못해나의 밤 속엔생각이 너무 많네복잡해틈만 나면 바뀌는 게 관둘래이 놈의 정보화 시대단단히 잘못 됐어요즘은 아는게 더괴로운 것 같은데가면 갈 수록너무 어려워나만 이런 건지클럽 말고 뭐영화 말고 뭐 없나 하다결국 동네내 맘에는 구멍이 있어그건 뭘로도 못 채우는 것 yeah난 지금 가라앉는 중 인걸네모난 바다 속에서문제야 문제온 세상 속에똑같은 사랑 노래가와 닿지 못해나의 밤 속엔생각이 너무 많네뚜루뚜 뚜루뚜all night그렇게 시간 낭비를 하네저 인스타그램 속에서Lonely lonely so lonely원래 이리도 힘든가요no way no way이 피드 속엔나완 다른 세상 뿐인데부질없이올려 놓은 사진뒤에 가려진 내 마음을아는 이 없네난 또 헤 메이네저 인스타그램 속에서그래 너는 요즘 어때잠 못 자는 건 여전해자른 단발이 참 예쁘던데좋아요는 안 눌렀어조금 웃긴것 같아서뚜루루뚜 뚜루루뚜뚜루루뚜all night그렇게 시간 낭비를 하네네 인스타그램 속에서
2,겨울소리,0,Ballad,30810765,별이 떨어지는 작은 창밖을 보다 잠들지 못한 밤 나를 달래보다 길었던 가을의 내겐 첫눈 같은 밤 뒤늦은 나만의 겨울이 온 거야 얼룩 하나 남지 않는 별이 가득히 내린 길을 나 혼자 이렇게 걷고 있어 다시 태어난 겨울소리 따라 부르는 깊은 밤 나의 노래가 어디선가 잠든 너를 안아주길 sleep in white 주인도 없는 이 하얀 그림 위에다 그려보고 싶은 너의 이름 하나 아무 말도 없이 하얀 숨 뱉어보다 어느새 멈춘 두 발을 떼어본다 얼룩 하나 남지 않는 별이 가득히 내린 길을 나 혼자 이렇게 걷고 싶어 다시 태어난 겨울소리 따라 부르는 깊은 밤 나의 노래가 어디선가 잠든 너를 안아주기를 sleep in white 온 세상 하얗던 그날의 우리 둘 끝없는 이야기 잠들지 못했던 그날 다시 태어난 겨울소리 따라 부르는 깊은 밤 나의 노래가 어디선가 잠든 너를 안아주길 눈 감으면 나의 품에 네가 있어 sleep in white Ejjel dal lalalszunk(오늘 밤 이 노래와 함께 잠이 들어)edesalmunkhofeher(달콤한 우리의 꿈은 눈처럼 하얗다)Ejjel dal lalalszunk(오늘 밤 이 노래와 함께 잠이 들어)edesalmunkhofeher(달콤한 우리의 꿈은 눈처럼 하얗다)
3,비행운,0,Rock,30086173,매일매일이 잿빛이더라구팽이돌듯이 빙빙 돌더라구어른이 라는 따분한 벌레들이야금야금 꿈을 좀 먹더라구나는 자라 겨우내가 되겠지뿔이 자라난어른이 될테니억지로 라도웃어야지 하는데그럼에도 좀울적하더라구어제와 오늘의 온도가 너무 달라서비행운이 만들어졌네내가 머물기에여기는 너무 높아서한숨자국만 깊게 드러났네나는 자라 겨우내가 되겠지뿔이 자라난어른이 될 테니억지로 라도웃어야지 하는데그럼에도 좀울적 하더라구어제와 오늘의 온도가 너무 달라서비행운이 만들어졌네내가 머물기에여기는 너무 높아서한숨자국만 깊게 드러났네어제와 오늘의 온도가 너무 달라서비행운이 만들어졌네내가 머물기에여기는 너무 높아서한숨자국만 깊게 드러났네꼬마가 간직했던꿈은 무엇일까오래된 일기장을 꺼내봤네1996년 7월 20일에우주 비행사라고 적어놨네
4,그날처럼,0,Ballad,30755375,참 많은 시간이 흘러가고넌 어떻게 사는지 참 궁금해날 걱정하는 사람들에게다 잊었단 거짓말하는 내가 참 미운 날아름다운 이별은 세상에 없다지만그때 내가 조금 더 너를 편하게 보내줬다면다른 사람 또 만나 행복할 니가 가끔은내 생각할 때에 지을 표정이 참 궁금해날 보는 네 눈이 좋아서 얼굴 붉히며 딴청 피던 아름답던 그날처럼 좋은 사람 만나 사랑 받고 너도 이젠 웃을 수 있길찬란했던 우리 그날처럼비어있는 지갑에 음식점을 서성이면월급날이라며 손잡아 이끌어주던만 원짜리 커플링 고맙다며 펑펑 울던과분한 네 사랑 받을 사람 참 부러워날 보는 네 눈이 좋아서 얼굴 붉히며 딴청 피던 아름답던 그날처럼 좋은 사람 만나 사랑 받고 너도 이젠 웃을 수 있길찬란했던 우리 그날처럼문득 들려오는 너의 소식에가끔씩은 혼자 울 수 있길끝까지 이기적인 내가이젠 나 없이도 괜찮다 너에게 듣고 싶던 말좋은 사람 만나 미안해 다시 돌아갈 순 없지만아름답던 우리 그날
5,선물,0,Ballad,30514366,빛이 들어오면 자연스레 뜨던 눈그렇게 너의 눈빛을 보곤사랑에 눈을 떴어항상 알고 있던 것들도 어딘가새롭게 바뀐 것 같아남의 얘기 같던 설레는 일들이내게 일어나고 있어나에게만 준비된 선물 같아자그마한 모든 게 커져만 가항상 평범했던 일상도특별해지는 이 순간별생각 없이 지나치던 것들이이제는 마냥 내겐 예뻐 보이고내 맘을 설레게 해항상 어두웠던 것들도 어딘가빛나고 있는 것 같아남의 얘기 같던 설레는 일들이내게 일어나고 있어나에게만 준비된 선물 같아자그마한 모든 게 커져만 가항상 평범했던 일상도특별해지는 이 순간너를 알게 된 뒤 보이는모든 것들이 너무 예뻐 보여그렇게 신난 아이처럼순수한 사람이 된 것 같아나에게만 준비된 선물 같아자그마한 모든 게 커져만 가항상 평범했던 일상도특별해지는 이 순간깊은 사랑에 빠진 순간
6,Heart Shaker,0,Dance,30781481,Yeah Yeah Yeah Yeah YeahCome and be my loveCome and be my love babyYeah Yeah Yeah Yeah YeahCome and be my loveCome and be my love baby멍하니 서서 막 고민고민 해나 이거 진짜 잘하는 짓인지Yeah Yeah Yeah Yeah뭐 어때No No No No미쳤어난 쯔위라고 해 무작정 인사할까내 전화번호야 쪽지를 주고 도망칠까Yeah Yeah Yeah Yeah어떡해No No No No지금이야Girl you can do it눈이 마주치고 있잖아Love is timing놓치면 후회할지 몰라Love is coming coming좀만 더 용기를 내더는 망설이지 마이상하게 생각해도어쩔 수 없어 반했으니까You're my heart shaker shaker놓치기 싫어You're my heart shaker shaker어떡해바보처럼 안 기다려내가 말할래 반해버렸다고 네가 맘에 든다고하루 종일 보고 싶다고Would you be my love반해버렸으니까표정관리 해 어색하지 않게말투는 Cool Cool 긴장할 필요 없어Yeah Yeah Yeah Yeah정신 바짝 차리고 집중해No No No No어떡해 똑바로 못 보겠어지금이야Girl you can do it눈이 마주치고 있잖아Love is timing놓치면 후회할지 몰라Love is coming coming좀만 더 용기를 내더는 망설이지 마이상하게 생각해도어쩔 수 없어 반했으니까You're my heart shaker shaker놓치기 싫어You're my heart shaker shaker어떡해바보처럼 안 기다려내가 말할래 반해버렸다고네가 맘에 든다고하루 종일 보고 싶다고Would you be my love반해버렸으니까너도 날 원하게 될 거야날 사랑하게 될 걸간절히 바라 너도 나와 같기를Oh Yeah망설이지 마 먼저 다가가사랑을 말해 주저 하지 마Come baby be my be mybe my loveCome baby Bae Bae Bae Bae이상하게 생각해도어쩔 수 없어 반했으니까You're my heart shaker shaker놓치기 싫어You're my heart shaker shaker어떡해바보처럼 안 기다려내가 말할래 좋아한다고네가 맘에 든다고하루 종일 보고 싶다고사랑한다고반해버렸다고You are mine Be mineYou are mine Be mine좋아한다고 말할래반했으니까
7,기억의 빈자리,0,R&B,30757693,니가 없는 자리는 투명한 꿈처럼허전한 듯 나를 감싸고무뎌진 마음을꼭 붙잡았던 나는 오늘도 이렇게그대라는 시간은 내 그림자처럼항상 그 자리에낮은 구름같이 무거운하루를 보낸다고차가운 바람이 이 자릴 지나면우리는 사라지나요달아나는 기억의 빈자리를그대는 인정할 수 있나요아직 내 마음엔서로 마주하던 그 눈빛을이어주는 길이 남아있죠돌아선 나날들이 서러운 걸요차가운 바람이 이 자릴 지나면우리는 사라지나요마주치는 기억의 그 자리를 그대는포기할 수 있나요뜨거운 눈물이 이 자릴 지우면영원히 사라지나요무딘 마음이 이 자릴 메우면하루는 살아지나요달아나는 기억의 빈자리를 그대는바라볼 수 있나요미련 가득히 이 자릴 채우면그대는 돌아오나요멀어지는 기억의 그 자리를 나는이젠
8,밤이 되니까,0,R&B,30659630,오늘도 난 술을 마셔 우울하니까네가 또 생각나니까침대 위에 놓인 전활 꺼 둬야만 해내일 후회할 것 같아서찬 바람이 불어 오면왠지 술 한 잔이 생각나너도 옆에 있으면 좋겠어파도처럼 내게 밀려와나를 어지럽게 만드는네가 오늘따라 더 생각이 나 alright오늘도 난 술을 마셔 밤이 되니까네가 또 생각나니까침대 위에 놓인 전활 꺼 둬야만 해내일 후회할 것 같아서나에게 읽어 주던 시너와 살던 집모든 게 다 생각이 나파란 지붕 밑 강이 보이는 곳한강 위에 비친 달빛이네가 있는 곳을 안다면그곳을 비춰준다면 좋겠어 alright시간은 저녁을 지나 긴 새벽인데왜 자꾸 네가 생각나쓸쓸한 네 빈자리가 날 외롭게 해아직 많이 사랑하나 봐아직은 힘들 것 같아너의 번호를 지운단 건너를 모두 지우는 것 같아서오늘 밤은 너를 찾아가이 말을 전하고 싶어너를 정말 많이 사랑했다고오늘도 난 술을 마셔 비가 오니까네가 또 생각나니까침대 위에 놓인 전활 꺼 둬야만 해내일 후회할 것 같아서이 밤에 술을 한 잔 하는 건모두 그렇지만 나 결국 너를 잊을 걸알면서도 헤어지려는마음이 이렇게 슬프기때문일까 내 탓일까지금은 너도 혹시내 생각 하다 잠 못 들지 않는지너무나 보고 싶어 1분이라도네가 또 보고 싶어보고 싶어
9,좋아,0,Ballad,30729198,이제 괜찮니 너무 힘들었다며 너의 그 마무리가고작 이별뿐일 거라 우린 괜찮다면서잘 지낸다고 전해 들었지? 내겐 정말 참 좋은 사람 만나 잘 지내고 있어 마냥 자상한 사람잘 됐어 우린 힘들었잖아서로 다름을 견뎌 내기엔좋아 사랑해서 사랑을 시작해서 다신 눈물 흘리지 않을 거야 그 기억은 아직도 힘들어 헤어 나오지 못해 니 소식 들린 날은 더좋아 참 그 사람 한없이 날 이해해줘넌 날 몰라도 정말 몰라줬어내 아픔의 단 십 분의 일만이라도 아프다 날 잊어줘억울한가 봐 너만 힘든 것 같니어쩜 넌 그대로니몰래 흘린 눈물 아니 제발 유난 좀 떨지 마간단해 나는 행복 바랬어 그게 언제든 넌 알 바 아닌 걸좋아 사랑해서 사랑을 시작할 때 내가 그렇게 예쁘다면서그 모습을 그가 참 좋아해 너무 날 사랑해줘 아팠던 날 알면서도좋아 참 그 사람 솔직히 너무나 고마워 너도 빨리 행복하면 좋겠어 다음 사람 내 열 배만큼 사랑해줘 다시는 그러지 마혹시 잠시라도 내가 떠오르면 걘 잘 지내 물어봐 줘 잘 지내라고 답할 걸 모두 다  정말 난 정말 잘 살 거니까그 흘렸던 내 눈물 때문에 나를 아낄 거야 후회는 없을 거야좋아 정말 좋아 딱 잊기 좋은 추억 정도야난 딱 알맞게 너를 사랑했어뒤끝 없는 너의 예전 여자 친구일 뿐 길었던 결국 안 될 사랑
10,Lonely (Feat. 태연),0,R&B,30383758,미안해 내 탓이야 고마워 덕분이야툭하면 내뱉던 네 그 말버릇너도 힘든 걸 난 다 아는데아마 넌 내가 바본 줄 아나 봐우는 얼굴로 나 힘들다 하면정말 나아질까그럼 누가 힘들까 아프다 징징대면모두 다 괜찮아지는데아마 너와 난 착각 속에서로를 가둬둔 지 몰라아냐 너는 날 이해 못 해걱정 어린 네 눈을 볼 때면Baby I’m so Lonely so Lonely나는 혼자 있는 것만 같아요지친 널 볼 때면 내가 너에게혹시 짐이 될까 많이 버거울까Baby I’m so Lonely so Lonely나도 혼자 있는 것만 같아요그래도 너에게 티 내기 싫어나는 혼자 참는 게 더 익숙해날 이해해줘우린 함께 있지만 같이 걷질 않잖아외로움과 괴로움기억 하나 차인 건데넌 왜 자꾸 다르게만적으려 하는 건지Baby I’m so Lonely so Lonely나는 혼자 있는 것만 같아요그래도 너에게 티 내기 싫어나는 혼자 참는 게 더 익숙해날 이해해줘날 내버려 둬Baby I’m so Lonely so Lonely나는 혼자 있는 것만 같아요Baby I’m so Lonely so Lonely나도 혼자 있는 것만 같아요그래도 너에게 숨기기 싫어나는 혼자 참는 게 더 익숙해날 이해해줘
