,id,title,rmse,count,cause
1,5713422,와리가리,28.49,25,방송출연
2,4016085,신촌을 못가,28.23,46,방송출연
3,3753304,벚꽃 엔딩,27.95,116,계절
4,30383758,Lonely (Feat. 태연),27.69,19,사회적이슈
5,3053259,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),27.41,40,계절
6,5398990,이 소설의 끝을 다시 써보려 해,26.98,60,사회적이슈
7,3467465,정주나요,26.77,11,방송출연
8,4165390,Falling In Love,26.66,14,
9,8115189,몇 년 후에,26.52,12,
10,3471644,말하는 대로,26.04,14,방송출연
11,30088156,"가끔 (Feat. Crush, 기리보이)",25.85,11,
12,3174148,가슴 시린 이야기 (Feat. 용준형 Of Beast),25.72,38,
13,5389475,양화대교,25.62,52,사회적이슈
14,3143550,나만 몰랐던 이야기,25.58,17,
15,4354180,겨울 고백,25.19,18,계절
16,8124417,봄이 좋냐??,25.07,38,계절
17,3753303,여수 밤바다,25.06,41,
18,3753309,꽃송이가,25.06,43,계절
19,3973781,크리스마스니까,24.97,47,계절
20,4036019,라면인건가,24.58,14,방송출연
21,3820647,illa illa (일라 일라),24.57,20,사회적이슈
22,7975242,사랑이 맞을거야,24.14,17,
23,7852842,그렇게 됐어,24.08,12,
24,5700879,View,23.86,18,
25,3467462,나만 부를 수 있는 노래,23.81,12,
26,8276709,아름다워,23.8,31,
27,3467461,순정마초,23.78,12,방송출연
28,30005102,내가 설렐 수 있게,23.76,14,
29,8276708,마에스트로 (Maestro),23.58,27,사회적이슈
30,3467467,흔들어 주세요,23.47,12,방송출연
31,30086173,비행운,23.47,36,사회적이슈
32,4579468,봄 사랑 벚꽃 말고,23.46,77,계절
33,4076051,Love Blossom (러브블러썸),23.42,25,계절
34,8086947,한숨,23.24,48,
35,5652555,Shine Your Light,23.08,13,
36,4599628,티가 나나봐,23.03,14,
37,30974156,어린 왕자 (Prod. Godic),22.88,14,
38,3536906,사랑 사랑아,22.8,19,
39,3686634,Hit U,22.72,12,
40,31159436,장마 (Rainy Season),22.61,13,날씨
41,5584400,사랑은 미친짓 (Feat. 칸토 of 트로이),22.47,18,
